City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Kieta,100,PG,1619033819,82,-6.2167,155.6333,78.6,1.86
Dingle,100,PH,1619033820,82,10.9995,122.6711,77.77,7.76
Punta Arenas,0,CL,1619033581,66,-53.15,-70.9167,46.4,9.22
Kaka,8,TM,1619033820,33,37.3482,59.6143,65.89,7.0
Ushuaia,0,AR,1619033820,53,-54.8,-68.3,50.0,0.51
Arraial do Cabo,40,BR,1619033820,83,-22.9661,-42.0278,73.4,9.22
Bambous Virieux,75,MU,1619033821,94,-20.3428,57.7575,77.0,9.22
Khandyga,31,RU,1619033821,99,62.6667,135.6,-3.12,2.64
Port Elizabeth,20,ZA,1619033821,94,-33.918,25.5701,68.0,11.5
Saint George,1,US,1619033821,6,37.1041,-113.5841,78.8,26.46
Pochutla,90,MX,1619033822,52,15.7432,-96.4661,91.99,9.22
Praia da Vitória,75,PT,1619033822,94,38.7333,-27.0667,64.4,29.12
Saldanha,35,ZA,1619033822,77,-33.0117,17.9442,59.0,2.06
Severo-Kuril'sk,100,RU,1619033823,92,50.6789,156.125,35.46,7.27
Airai,70,TL,1619033823,95,-8.9266,125.4092,57.49,2.08
Ribeira Grande,75,PT,1619033823,94,38.5167,-28.7,64.4,26.46
Kjøllefjord,75,NO,1619033823,93,70.9457,27.3465,37.4,11.5
Ukiah,1,US,1619033824,33,39.1502,-123.2078,77.0,5.75
San Andrés,20,CO,1619033824,62,12.5847,-81.7006,87.8,17.27
Jamestown,90,US,1619033824,74,42.097,-79.2353,34.0,13.8
Busselton,100,AU,1619033824,96,-33.65,115.3333,53.01,9.35
Hobart,81,AU,1619033825,76,-42.8794,147.3294,53.01,6.91
Walvis Bay,100,NA,1619033551,56,-22.9575,14.5053,71.6,2.3
Barrow,1,US,1619033825,79,71.2906,-156.7887,19.4,6.91
Yellowknife,90,CA,1619033701,63,62.456,-114.3525,23.0,23.02
Saint-Philippe,75,RE,1619033615,83,-21.3585,55.7679,77.0,12.66
Oranjemund,49,NA,1619033825,91,-28.55,16.4333,60.33,4.65
Cayenne,75,GF,1619033825,78,4.9333,-52.3333,82.99,11.5
Mashhad,0,IR,1619033822,45,36.297,59.6062,66.2,6.91
Kokkola,0,FI,1619033826,52,63.8385,23.1307,42.8,4.61
Beloha,5,MG,1619033826,81,-25.1667,45.05,69.84,15.52
Kapaa,40,US,1619033826,78,22.0752,-159.319,80.01,5.75
Penhold,1,CA,1619033827,17,52.1334,-113.8687,62.6,12.66
Tuktoyaktuk,90,CA,1619033664,79,69.4541,-133.0374,12.2,27.63
Norman Wells,75,CA,1619033827,59,65.282,-126.8329,26.6,16.11
Hithadhoo,8,MV,1619033827,67,-0.6,73.0833,82.54,5.08
Krasnosel'kup,58,RU,1619033827,93,65.7,82.4667,11.37,9.93
Faanui,25,PF,1619033828,74,-16.4833,-151.75,81.25,13.76
Sørland,40,NO,1619033828,64,67.667,12.6934,35.6,13.8
Teahupoo,20,PF,1619033828,70,-17.8333,-149.2667,84.2,3.44
Albany,100,US,1619033709,69,42.6001,-73.9662,39.0,1.01
Udachny,100,RU,1619033828,96,66.4167,112.4,0.46,3.78
Anadyr,95,RU,1619033829,92,64.75,177.4833,14.0,8.95
Lázaro Cárdenas,0,MX,1619033829,33,17.9583,-102.2,85.98,11.18
Mareeba,75,AU,1619033829,100,-17.0,145.4333,73.4,0.74
Saskylakh,91,RU,1619033829,100,71.9167,114.0833,-10.16,5.99
Ostrovnoy,100,RU,1619033728,71,68.0531,39.5131,36.7,6.91
Bengkulu,67,ID,1619033830,89,-3.8004,102.2655,75.7,3.65
Zonguldak,74,TR,1619033830,81,41.25,31.8333,44.24,3.09
Huanren,100,CN,1619033830,49,41.2647,125.3667,55.45,3.24
Ixtapa,1,MX,1619033831,65,20.7,-105.2,82.4,12.66
Lebu,56,CL,1619033831,78,-37.6167,-73.65,56.08,17.31
Shalakusha,100,RU,1619033831,95,62.2247,40.2539,37.27,11.72
Ōhara,20,JP,1619033831,93,35.25,140.3833,59.0,2.3
Avarua,75,CK,1619033832,73,-21.2078,-159.775,78.8,13.8
Hukuntsi,15,BW,1619033832,34,-24.0,21.75,64.51,8.41
Bluff,96,NZ,1619033832,97,-46.6,168.3333,46.99,8.86
San Quintín,9,MX,1619033832,59,30.4833,-115.95,62.38,13.96
Ponta do Sol,92,PT,1619033833,74,32.6667,-17.1,64.0,1.01
Clyde River,75,CA,1619033833,92,70.4692,-68.5914,12.2,20.71
East London,75,ZA,1619033833,82,-33.0153,27.9116,66.2,13.8
Sittwe,0,MM,1619033833,85,20.15,92.9,79.47,5.82
Biłgoraj,46,PL,1619033834,88,50.5411,22.722,50.0,6.87
Shwebo,0,MM,1619033834,26,22.5667,95.7,82.78,4.27
Bethel,90,US,1619033666,82,41.3712,-73.414,51.8,4.61
Mataura,95,NZ,1619033835,97,-46.1927,168.8643,46.99,2.71
Novy Urengoy,89,RU,1619033835,93,66.0833,76.6333,23.13,10.6
Tarakan,40,ID,1619033692,94,3.3,117.6333,80.6,2.3
Whitehorse,20,CA,1619033835,43,60.7161,-135.0538,34.0,6.91
Hilo,40,US,1619033835,61,19.7297,-155.09,80.6,6.6
Sundsvall,90,SE,1619033836,75,62.3913,17.3063,39.2,20.71
Longyearbyen,75,SJ,1619033635,63,78.2186,15.6401,24.8,16.11
Setermoen,75,NO,1619033836,69,68.861,18.3486,33.8,8.05
Hofn,20,IS,1619033836,65,64.2539,-15.2082,41.0,3.44
Ust-Nera,100,RU,1619033836,77,64.5667,143.2,15.94,6.49
Misratah,4,LY,1619033837,62,32.3754,15.0925,65.37,21.54
Passos,1,BR,1619033837,49,-20.7189,-46.6097,75.34,3.04
Gamba,95,GA,1619033837,87,-2.65,10.0,79.74,4.79
Nikolskoye,75,RU,1619033838,93,59.7035,30.7861,36.0,2.24
Killybegs,0,IE,1619033838,62,54.6333,-8.45,57.2,9.22
Ōzu,87,JP,1619033838,57,33.5,132.55,54.0,4.52
Cape Town,0,ZA,1619033689,77,-33.9258,18.4232,66.2,9.22
Dikson,100,RU,1619033838,95,73.5069,80.5464,28.76,14.41
Thompson,1,CA,1619033839,32,55.7435,-97.8558,50.0,9.22
Vytegra,100,RU,1619033839,97,61.0064,36.4481,34.29,7.81
Abhā,0,SA,1619033839,48,18.2164,42.5053,68.0,4.61
Siocon,92,PH,1619033839,86,7.7061,122.1353,78.78,7.16
Guerrero Negro,14,MX,1619033840,53,27.9769,-114.0611,66.92,14.52
Nicoya,75,CR,1619033648,43,10.1483,-85.452,93.2,13.8
São Félix do Xingu,100,BR,1619033840,86,-6.6447,-51.995,76.71,2.73
Lompoc,36,US,1619033613,71,34.6391,-120.4579,55.4,10.36
Barkhan,0,PK,1619033840,49,29.8977,69.5256,67.42,7.29
Tasiilaq,20,GL,1619033620,47,65.6145,-37.6368,30.2,13.8
New Norfolk,94,AU,1619033841,66,-42.7826,147.0587,52.0,7.0
Norway,90,US,1619033841,30,45.7869,-87.9037,39.99,12.66
Kavaratti,30,IN,1619033841,68,10.5669,72.642,83.61,6.73
Schwerin,6,DE,1619033842,68,53.6294,11.4132,44.01,15.01
Cabo San Lucas,1,MX,1619033629,32,22.8909,-109.9124,86.0,6.91
Winneba,0,GH,1619033842,74,5.3511,-0.6231,86.0,16.11
Borba,100,BR,1619033842,81,-4.3878,-59.5939,79.32,2.57
Tiksi,100,RU,1619033627,91,71.6872,128.8694,8.67,9.44
Risod,100,IN,1619033843,32,19.9667,76.7833,83.43,9.95
Mossamedes,41,AO,1619033773,81,-15.1961,12.1522,80.1,6.58
Esperance,90,AU,1619033665,94,-33.8667,121.9,57.2,3.44
Mabaruma,40,GY,1619033843,70,8.2,-59.7833,87.8,11.5
Qaanaaq,100,GL,1619033604,73,77.484,-69.3632,14.95,8.12
Port Blair,40,IN,1619033843,77,11.6667,92.75,80.87,6.62
Vao,46,NC,1619033844,71,-22.6667,167.4833,74.79,8.48
Arman',100,RU,1619033844,98,59.7,150.1667,31.44,3.06
Blairmore,0,CA,1619033844,28,49.6,-114.4353,57.2,11.5
Rio Grande,75,BR,1619033844,64,-32.035,-52.0986,73.4,17.27
Eureka,6,US,1619033812,77,40.8021,-124.1637,57.99,7.0
Bida,69,NG,1619033845,74,9.0833,6.0167,79.56,9.26
Watsa,100,CD,1619033845,97,3.0372,29.5355,65.48,2.84
Aklavik,40,CA,1619033845,54,68.2191,-135.0107,24.8,10.36
São Miguel do Araguaia,34,BR,1619033845,63,-13.275,-50.1628,83.01,0.49
Sisimiut,61,GL,1619033610,76,66.9395,-53.6735,32.47,5.03
Reyes,40,BO,1619033846,62,-14.3167,-67.3833,89.6,6.91
Poum,60,NC,1619033846,84,-20.2333,164.0167,76.91,10.67
Serenje,76,ZM,1619033846,94,-13.2325,30.2352,57.07,5.23
Castro,94,BR,1619033847,74,-24.7911,-50.0119,62.58,5.91
Souillac,75,MU,1619033847,94,-20.5167,57.5167,77.0,9.22
Naze,13,JP,1619033624,71,28.3667,129.4833,65.3,17.38
Antofagasta,20,CL,1619033847,68,-23.65,-70.4,66.2,12.66
Zhigansk,100,RU,1619033847,100,66.7697,123.3711,-7.33,4.05
Sorong,94,ID,1619033848,85,-0.8833,131.25,79.05,2.62
Ternate,56,ID,1619033848,79,0.8,127.4,81.18,1.72
Marsaxlokk,40,MT,1619033848,94,35.8419,14.5431,62.01,19.57
Nyurba,99,RU,1619033848,100,63.2842,118.3319,-0.63,0.96
Jiazi,1,CN,1619033849,80,22.8779,116.067,69.42,8.97
Qui Nhon,100,VN,1619033849,89,13.7667,109.2333,77.04,2.51
Bredasdorp,97,ZA,1619033619,94,-34.5322,20.0403,60.8,9.22
Korla,100,CN,1619033849,38,41.7597,86.1469,62.62,9.13
Erzin,0,TR,1619033850,82,36.9559,36.2,62.01,1.92
Talnakh,100,RU,1619033613,95,69.4865,88.3972,12.4,9.98
Sarāhan,53,IN,1619033850,74,31.5167,77.8,39.49,7.07
Labuhan,42,ID,1619033850,82,-6.8844,112.2051,75.33,5.21
Trairi,38,BR,1619033851,80,-3.2778,-39.2689,79.54,5.73
Constantine,75,DZ,1619033851,54,36.365,6.6147,57.2,4.61
Isangel,13,VU,1619033851,85,-19.55,169.2667,78.58,5.48
Cochrane,1,CA,1619033851,17,51.1834,-114.4687,61.0,5.75
Lorengau,100,PG,1619033852,81,-2.0226,147.2712,81.46,6.82
San Ignacio,40,BZ,1619033852,55,17.1561,-89.0714,91.4,4.61
Tsiroanomandidy,100,MG,1619033852,87,-18.7667,46.0333,68.47,0.6
Safi,98,MA,1619033852,79,32.2994,-9.2372,63.16,14.88
Mount Gambier,75,AU,1619033853,100,-37.8333,140.7667,50.0,8.05
Kabarnet,75,KE,1619033853,88,0.4919,35.743,62.6,2.3
Creel,10,MX,1619033853,11,27.75,-107.6333,67.46,17.98
Banda Aceh,95,ID,1619033853,81,5.5577,95.3222,80.19,8.59
Auki,47,SB,1619033714,84,-8.7676,160.7034,77.77,2.15
Iralaya,75,HN,1619033854,74,15.0,-83.2333,87.8,11.5
Pitimbu,0,BR,1619033854,70,-7.4706,-34.8086,84.2,9.22
Wates,60,ID,1619033854,87,-8.1326,111.9541,72.59,0.87
Sawtell,0,AU,1619033854,93,-30.3833,153.1,48.2,4.54
Taoudenni,0,ML,1619033855,7,22.6783,-3.9836,92.77,6.2
Hay River,100,CA,1619033855,86,60.8156,-115.7999,24.8,17.27
Chamrajnagar,99,IN,1619033855,68,11.9167,76.95,76.78,3.4
São Filipe,100,CV,1619033856,69,14.8961,-24.4956,73.74,13.22
Estelle,1,US,1619033856,52,29.8458,-90.1067,66.0,10.36
Killorglin,0,IE,1619033856,47,52.1,-9.7833,59.0,11.5
Senj,0,HR,1619033856,93,44.9894,14.9058,48.99,2.42
Wadi Maliz,40,TN,1619033857,56,36.4681,8.5495,69.8,3.44
Pevek,11,RU,1619033857,68,69.7008,170.3133,22.24,17.76
Itarema,100,BR,1619033857,78,-2.9248,-39.9167,79.99,5.82
Wronki,0,PL,1619033857,54,52.7105,16.3804,53.6,6.91
Sistranda,40,NO,1619033858,75,63.7256,8.834,37.4,10.36
São Paulo de Olivença,50,BR,1619033858,54,-3.3783,-68.8725,88.09,2.68
Vardø,0,NO,1619033858,70,70.3705,31.1107,37.4,10.36
Kīhei,20,US,1619033677,73,20.785,-156.4656,78.8,1.07
Sembakung,40,ID,1619033858,94,3.8167,117.25,80.6,2.3
Nanortalik,100,GL,1619033859,73,60.1432,-45.2371,38.7,6.15
Qasigiannguit,1,GL,1619033859,54,68.8193,-51.1922,24.8,6.91
Boussé,0,BF,1619033859,24,12.6606,-1.8922,96.8,2.3
Cidreira,100,BR,1619033860,67,-30.1811,-50.2056,70.7,17.78
Aksarka,100,RU,1619033860,94,66.5606,67.7975,32.47,10.98
Katsuura,0,JP,1619033860,38,35.1333,140.3,59.0,12.66
Belyy Yar,0,RU,1619033860,46,53.6039,91.3903,26.6,6.71
Carnarvon,12,AU,1619033861,88,-24.8667,113.6333,64.4,6.91
Māgadi,75,IN,1619033861,65,12.9667,77.2333,84.99,6.91
Morondava,36,MG,1619033861,77,-20.2833,44.2833,77.88,10.71
Carutapera,100,BR,1619033883,93,-1.195,-46.02,76.33,3.22
Port Keats,68,AU,1619033883,65,-14.25,129.55,78.03,6.85
Santa Isabel Rio Negro,78,BR,1619033883,86,-0.4139,-65.0192,82.18,1.07
Altay,69,CN,1619033725,69,47.8667,88.1167,30.83,7.78
Esim,77,GH,1619033883,80,4.8699,-2.2405,82.17,9.93
Touros,20,BR,1619033884,70,-5.1989,-35.4608,84.2,16.11
Khojaly District,99,AZ,1619033884,90,39.913,46.7903,58.08,1.86
Chokurdakh,100,RU,1619033884,95,70.6333,147.9167,16.68,10.89
Tura,100,IN,1619033885,74,25.5198,90.2201,72.21,4.94
Naberera,49,TZ,1619033885,97,-4.2,36.9333,60.39,6.64
Maniitsoq,6,GL,1619033885,78,65.4167,-52.9,34.84,9.1
Akhmīm,0,EG,1619033885,19,26.5622,31.745,86.0,14.97
Ugoofaaru,8,MV,1619033668,71,5.6667,73.0,83.03,7.58
Ilulissat,1,GL,1619033886,54,69.2167,-51.1,24.8,6.91
Fortuna,75,US,1619033886,87,40.5982,-124.1573,55.0,12.66
Hong Kong,0,HK,1619033614,83,22.2855,114.1577,73.99,6.33
Lennestadt,68,DE,1619033886,71,51.1167,8.0667,46.99,8.9
Nome,1,US,1619033602,51,64.5011,-165.4064,33.01,3.44
Vanavara,38,RU,1619033887,98,60.34,102.2797,5.63,0.4
Valdivia,40,CL,1619033887,67,-39.8142,-73.2459,59.0,6.91
Yumen,94,CN,1619033887,17,40.2833,97.2,58.68,4.85
Srednekolymsk,0,RU,1619033887,78,67.45,153.6833,28.44,7.54
Izhma,100,RU,1619033888,81,65.0083,53.9113,41.47,9.93
Hambantota,20,LK,1619033888,100,6.1241,81.1185,77.0,3.44
Sussex,90,US,1619033888,70,41.1834,-74.6663,44.01,11.5
Puerto Madryn,100,AR,1619033642,82,-42.7692,-65.0385,64.58,16.64
Belmonte,75,BR,1619033889,74,-15.8631,-38.8828,80.6,9.22
Dalvik,20,IS,1619033889,53,65.9702,-18.5286,46.4,14.97
Dauphin,1,CA,1619033889,33,51.1494,-100.0502,57.2,14.97
Saint-Pierre,75,RE,1619033626,83,-21.3393,55.4781,77.0,12.66
Lavrentiya,93,RU,1619033889,63,65.5833,-171.0,27.64,1.68
Thunder Bay,75,CA,1619033890,44,48.4001,-89.3168,39.0,8.05
Hamilton,75,US,1619033890,49,39.1834,-84.5333,46.0,13.8
Los Llanos de Aridane,75,ES,1619033890,68,28.6585,-17.9182,69.8,5.75
Caravelas,100,BR,1619033891,80,-17.7125,-39.2481,77.49,4.81
Bonthe,100,SL,1619033891,84,7.5264,-12.505,81.07,5.77
Butaritari,100,KI,1619033891,78,3.0707,172.7902,81.95,16.53
Ayna,20,PE,1619033891,33,-12.65,-73.9167,73.4,2.3
Ulaangom,99,MN,1619033892,68,49.9811,92.0667,28.85,2.89
Bilma,0,NE,1619033892,9,18.6853,12.9164,89.8,9.82
Camopi,91,GF,1619033892,94,3.1655,-52.3158,77.58,4.61
Erenhot,100,CN,1619033892,77,43.6475,111.9767,54.81,7.65
Tuy Hoa,100,VN,1619033893,92,13.0833,109.3,76.41,2.3
San Cristobal,40,VE,1619033893,51,7.7669,-72.225,89.6,13.8
Mana,49,GF,1619033893,83,5.6592,-53.7767,79.32,11.21
Namuac,100,PH,1619033893,88,18.6109,121.1657,77.41,14.18
Maragogi,71,BR,1619033894,79,-9.0122,-35.2225,79.57,8.46
Presidencia Roque Sáenz Peña,9,AR,1619033894,50,-26.7852,-60.4388,88.0,3.0
Mar del Plata,20,AR,1619033665,94,-38.0023,-57.5575,69.8,21.85
Bone,0,DE,1619033894,62,51.9669,12.1396,53.6,17.27
Tuatapere,97,NZ,1619033895,97,-46.1333,167.6833,46.99,2.46
San Patricio,90,US,1619033895,45,28.017,-97.5169,73.0,10.36
Vila Franca do Campo,75,PT,1619033895,94,37.7167,-25.4333,62.6,14.97
Catherinas Lust,100,GY,1619033895,78,6.4,-57.6,79.66,10.36
Bathsheba,75,BB,1619033896,57,13.2167,-59.5167,82.4,20.71
Kissidougou,100,GN,1619033896,97,9.1848,-10.0999,68.54,1.63
Susanville,1,US,1619033896,16,40.4163,-120.653,61.0,4.61
Syracuse,75,IT,1619033896,94,37.0881,15.2792,60.8,6.91
Plettenberg Bay,100,ZA,1619033897,88,-34.0527,23.3716,65.57,4.81
Saint Paul Harbor,90,US,1619033897,87,57.79,-152.4072,41.0,20.71
Copiapó,0,CL,1619033897,56,-27.3667,-70.3333,68.0,19.57
Salinas,90,US,1619033742,71,36.6777,-121.6555,55.4,6.91
Manacapuru,40,BR,1619033898,62,-3.2997,-60.6206,89.6,2.3
Sassandra,26,CI,1619033898,81,4.95,-6.0833,81.84,8.93
Methóni,20,GR,1619033898,76,36.8197,21.7049,53.6,4.61
Roald,75,NO,1619033898,75,62.5833,6.1333,39.2,5.75
Alofi,99,NU,1619033899,94,-19.0595,-169.9187,78.8,5.75
Olinda,0,BR,1619033899,65,-8.0089,-34.8553,82.4,9.22
Aykhal,100,RU,1619033899,95,66.0,111.5,6.37,5.44
Taltal,24,CL,1619033899,65,-25.4,-70.4833,67.86,5.32
Emerald,99,AU,1619033900,78,-23.5333,148.1667,73.4,3.44
Khatanga,100,RU,1619033900,94,71.9667,102.5,9.52,15.55
San Ramon,1,US,1619033900,45,37.7799,-121.978,73.0,4.61
Beringovskiy,100,RU,1619033749,83,63.05,179.3167,20.5,4.21
Pringsewu,59,ID,1619033900,96,-5.3582,104.9744,72.27,2.42
Belaya Gora,100,RU,1619033901,93,68.5333,146.4167,18.07,16.6
Berbérati,74,CF,1619033901,92,4.2612,15.7922,69.37,1.66
Laguna,1,US,1619033710,30,38.421,-121.4238,73.0,3.44
Sitka,20,US,1619033901,66,57.0531,-135.33,46.4,4.61
Calama,0,CL,1619033902,16,-22.4667,-68.9333,71.6,19.57
Hutchinson,75,US,1619033610,34,38.0608,-97.9298,48.2,9.22
Cherskiy,100,RU,1619033655,69,68.75,161.3,28.9,19.6
Laas,40,IT,1619033902,61,46.6166,10.7002,55.4,6.91
Dicabisagan,100,PH,1619033902,89,17.0818,122.4157,75.54,6.49
Doka,50,SD,1619033903,15,13.5167,35.7667,97.09,3.18
Yeppoon,40,AU,1619033903,78,-23.1333,150.7333,71.6,5.75
Klaksvík,75,FO,1619033903,87,62.2266,-6.589,41.0,13.8
Ekibastuz,93,KZ,1619033903,67,51.6667,75.3667,32.23,8.93
La Ronge,7,CA,1619033904,20,55.1001,-105.2842,60.8,9.22
Yerbogachën,44,RU,1619033904,97,61.2767,108.0108,5.07,2.08
Antalaha,100,MG,1619033732,91,-14.9003,50.2788,74.16,5.59
Provideniya,0,RU,1619033904,54,64.3833,-173.3,28.4,4.47
Porto Recanati,100,IT,1619033904,73,43.4365,13.6613,57.0,5.99
Vestmanna,75,FO,1619033905,87,62.1564,-7.1664,41.0,13.8
Pierre,1,US,1619033844,29,44.3683,-100.351,46.4,12.66
Potosí,22,BO,1619033905,13,-19.5836,-65.7531,58.78,11.01
Fort Nelson,75,CA,1619033905,55,58.8053,-122.7002,30.2,20.71
Karīmpur,50,IN,1619033906,74,23.9667,88.6167,84.04,7.09
Mandan,1,US,1619033842,29,46.8267,-100.8896,53.6,9.22
Rome,90,US,1619033746,75,43.2128,-75.4557,37.4,8.05
Garissa,100,KE,1619033906,69,-0.4536,39.6401,81.18,18.79
Gambēla,76,ET,1619033906,68,8.25,34.5833,78.35,2.35
Nouadhibou,0,MR,1619033906,73,20.931,-17.0347,68.0,24.16
Waverly,90,US,1619033795,45,42.7392,-84.6208,42.01,12.66
Petropavlovka,100,RU,1619033907,88,50.6114,105.3196,26.73,4.03
Ulladulla,33,AU,1619033723,71,-35.35,150.4667,48.2,9.22
Paragominas,100,BR,1619033907,90,-2.9667,-47.4833,74.93,1.74
Margate,13,GB,1619033907,74,51.3813,1.3862,50.0,5.99
Roseburg,1,US,1619033875,20,43.2165,-123.3417,70.0,5.75
Teya,70,RU,1619033908,99,60.3778,92.6267,7.38,1.5
Homer,1,US,1619033908,76,59.6425,-151.5483,46.99,3.44
Meadow Lake,40,US,1619033908,24,34.8014,-106.5436,66.99,9.22
La Asuncion,0,VE,1619033908,73,11.0333,-63.8628,79.97,16.28
Pio IX,100,BR,1619033909,74,-6.8375,-40.5792,78.22,3.47
Zaysan,2,KZ,1619033909,67,47.4667,84.8667,23.83,9.8
Lüderitz,100,NA,1619033909,69,-26.6481,15.1594,67.08,8.59
Sinnamary,100,GF,1619033909,87,5.3833,-52.95,78.57,12.3
Westport,75,US,1619033910,72,41.1415,-73.3579,60.8,11.5
Raudeberg,96,NO,1619033910,74,61.9875,5.1352,37.99,15.73
Port Hedland,5,AU,1619033885,68,-20.3167,118.5667,68.0,9.22
Kothi,100,IN,1619033910,29,24.75,80.7833,81.16,14.85
Cap Malheureux,100,MU,1619033911,85,-19.9842,57.6142,77.0,3.0
Millinocket,90,US,1619033911,81,45.6573,-68.7098,41.0,9.22
Manaus,75,BR,1619033663,66,-3.1019,-60.025,89.6,2.3
Kousséri,20,CM,1619033911,25,12.0769,15.0306,98.6,4.61
Bosaso,16,SO,1619033911,69,11.2842,49.1816,83.1,3.74
Birao,96,CF,1619033912,29,10.2849,22.7882,87.24,6.49
Doha,0,QA,1619033850,65,25.2867,51.5333,82.0,3.44
Timbó,75,BR,1619033729,69,-26.8233,-49.2717,75.2,8.05
Murovani Kurylivtsi,62,UA,1619033912,67,48.7235,27.5189,47.97,6.6
Sunrise,75,US,1619033894,94,26.1577,-80.2861,82.99,14.38
Gorom-Gorom,2,BF,1619033912,9,14.4439,-0.2361,92.82,2.82
Fairbanks,1,US,1619033622,41,64.8378,-147.7164,39.99,2.73
Goma,97,CD,1619033913,91,-1.6792,29.2228,63.23,1.88
Iwanai,1,JP,1619033913,83,42.9744,140.5089,36.34,4.38
Iqaluit,90,CA,1619033913,93,63.7506,-68.5145,26.6,13.8
Tocopilla,24,CL,1619033914,70,-22.092,-70.1979,70.11,8.79
Cuitláhuac,20,MX,1619033914,65,18.8167,-96.7167,86.0,16.11
Tūkrah,0,LY,1619033914,55,32.5341,20.5791,59.83,11.92
Barra de Tecoanapa,81,MX,1619033914,48,16.5167,-98.75,86.5,10.83
Mahon,75,ES,1619033915,82,39.8885,4.2658,57.2,10.36
Contamana,81,PE,1619033915,55,-7.3333,-75.0167,87.93,5.17
Hailar,100,CN,1619033915,41,49.2,119.7,58.1,15.41
Ermelo,69,ZA,1619033915,69,-26.5333,29.9833,51.98,5.32
Sungai Raya,58,ID,1619033916,88,0.7,108.9,77.9,2.62
Las Palmas,20,ES,1619033916,60,28.4204,-14.0131,69.8,17.27
Merauke,98,ID,1619033916,93,-8.4667,140.3333,76.15,5.46
Guiglo,94,CI,1619033916,85,6.5456,-7.4966,77.79,3.91
Husavik,20,IS,1619033917,53,66.0449,-17.3389,46.4,14.97
Tateyama,0,JP,1619033846,38,34.9833,139.8667,59.0,12.66
Egvekinot,92,RU,1619033917,65,66.3167,-179.1667,22.71,1.72
Omsukchan,100,RU,1619033917,95,62.5333,155.8,24.01,7.31
Zhangjiakou,100,CN,1619033918,57,40.81,114.8794,49.91,7.47
Port Lincoln,93,AU,1619033918,73,-34.7333,135.8667,60.04,13.94
Payson,75,US,1619033918,43,40.0444,-111.7321,55.99,12.66
South Venice,75,US,1619033918,65,27.0531,-82.4243,82.0,9.22
Jumla,100,NP,1619033919,89,29.2747,82.1838,39.79,5.82
Kaitangata,97,NZ,1619033919,87,-46.2817,169.8464,53.01,3.0
Bariloche,40,AR,1619033734,47,-41.1456,-71.3082,53.6,20.71
Basco,100,PH,1619033657,85,20.4487,121.9702,77.99,34.0
Parrita,40,CR,1619033919,69,9.5201,-84.3225,82.4,16.11
Tautira,20,PF,1619033920,70,-17.7333,-149.15,84.2,3.44
Hergla,20,TN,1619033920,72,36.0303,10.509,66.99,6.91
Kapoeta,100,SS,1619033920,73,4.7717,33.5903,74.98,4.5
Buenos Aires,0,AR,1619033627,73,-34.6132,-58.3772,78.01,9.22
Esso,99,RU,1619033920,96,55.9333,158.7,26.62,5.12
Lagoa,100,PT,1619033661,91,39.05,-27.9833,63.34,25.23
